~ Val B R M S X G C L I F T W H T I L V C P S V A T Y X E G P E H N X B G C L P I O Y R J V H H Q P W A O M H S Y Y M F S I W W K V F F X O M U W J E K K Y O V A B U C B G L J V H M T E A B K V B N K W K G 
Tj ~ ~ ~ 5240 387 ~ 4913 ~ ~ ~ ~ ~ 3123 ~ ~ ~ 8561 5049 466 ~ ~ 5642 3526 ~ ~ ~ 4454 7529 ~ 1177 8355 ~ ~ 1228 8633 5988 ~ 3194 ~ 5715 ~ 2443 ~ 915 9136 333 3706 5162 ~ 2252 ~ ~ 387 8102 ~ ~ ~ 464 ~ ~ ~ 4620 5454 6382 7771 8665 1573 5206 5553 5935 ~ 7732 6165 ~ ~ ~ ~ ~ ~ 9614 ~ ~ 1451 ~ 7329 ~ 6773 3457 6259 ~ 1578 ~ 2364 ~ ~ ~ 6697 3302 ~ 2187 4882 
Wx ~ ~ ~ ~ 4540 9606 ~ ~ ~ ~ 9680 4046 ~ ~ 1881 ~ ~ ~ ~ 9281 ~ 4675 ~ 2504 5533 ~ 1652 7536 ~ 935 7615 8055 403 119 2999 ~ 8428 5460 ~ 698 ~ ~ ~ ~ ~ 846 ~ 4553 ~ 2480 3343 3617 2784 ~ ~ ~ 953 8980 4079 5260 7381 9759 ~ 428 ~ ~ 4393 ~ 1905 1267 ~ ~ 3504 190 ~ 6964 ~ 8074 9433 ~ ~ ~ ~ 9312 ~ 3696 2343 ~ ~ ~ 4889 ~ 5814 ~ ~ 5542 5132 ~ ~ 1728 ~ 
Ha ~ 3502 3588 ~ ~ ~ 4880 6248 ~ 659 ~ ~ ~ ~ 7530 8926 ~ 7627 7218 ~ ~ ~ ~ ~ 8415 ~ ~ 1277 9700 ~ ~ ~ 5437 559 3178 ~ ~ 8831 ~ 4792 4105 ~ 8419 7652 1431 ~ ~ 494 4966 ~ 9730 1536 2030 5230 ~ ~ ~ ~ ~ ~ ~ 3633 ~ 9916 ~ ~ 9453 1180 ~ ~ 6088 ~ 2185 ~ ~ ~ ~ 4232 2473 4219 ~ 988 ~ ~ 763 ~ 660 2855 7100 ~ 1797 ~ 3752 4184 ~ ~ ~ 7471 ~ ~ 1164 
Tf ~ 6028 4988 ~ 5307 ~ ~ ~ 2622 9676 8776 ~ 5241 ~ 7608 ~ ~ 1099 7273 ~ 1406 ~ 6011 6832 6698 9646 ~ ~ 4626 ~ ~ 5304 ~ 3935 3777 1130 ~ ~ ~ ~ ~ ~ ~ 6116 ~ 5405 5249 5141 1937 ~ ~ 4383 ~ ~ 8576 ~ 6784 4697 5959 7760 5798 5175 ~ 4679 4203 ~ 8330 5218 3169 ~ ~ ~ ~ 2602 9594 6179 ~ ~ 9681 6161 ~ ~ ~ 1420 ~ 7686 4388 ~ ~ 5113 5219 ~ ~ ~ ~ 7487 ~ 2983 ~ ~ 1619 
Il ~ ~ ~ ~ 6471 ~ 405 6298 8926 3556 7682 2014 8137 ~ 329 6649 ~ ~ ~ 7253 ~ 9870 5019 4272 2350 8973 ~ 1391 7217 2633 ~ 2266 ~ 5258 ~ 4895 5226 4650 ~ 7460 4581 ~ ~ ~ ~ ~ 2320 ~ 7691 ~ ~ 3669 2503 1543 8884 ~ 1402 7953 6660 4091 ~ 926 ~ ~ ~ ~ ~ 9391 ~ 7360 4274 3674 ~ 6655 ~ 4476 ~ 1667 ~ 200 ~ ~ 3368 6238 ~ ~ ~ 9379 2235 9303 3771 ~ 1232 ~ 9216 ~ ~ 3991 ~ ~ 706 
La ~ ~ 3492 5987 ~ 6310 114 ~ ~ ~ 560 3722 ~ 71 ~ ~ ~ 502 3306 ~ 408 ~ 2319 ~ ~ ~ ~ ~ ~ 2465 6287 5921 ~ ~ ~ ~ 5158 5541 ~ 4518 ~ ~ 9082 ~ ~ ~ ~ 7536 ~ ~ ~ 1713 ~ 9214 ~ 8704 ~ 7763 ~ 4851 8955 ~ ~ 446 2878 ~ ~ 7204 1849 4984 ~ 4885 ~ 946 ~ ~ 8079 9578 ~ ~ 5049 5634 3441 ~ ~ ~ 6319 ~ ~ ~ 4595 ~ 9083 7215 ~ 3993 ~ 4976 7013 7718 ~ 
Vp ~ 4153 ~ 1071 8437 ~ 3954 3764 9834 ~ ~ ~ ~ 698 ~ 2423 ~ 4506 ~ ~ ~ ~ ~ 7405 8918 ~ 1326 6097 ~ ~ ~ 7539 ~ ~ 298 ~ ~ 7524 8476 ~ ~ 9594 ~ 8669 ~ ~ ~ ~ ~ 3037 ~ 4626 ~ ~ ~ ~ 6230 2358 3836 4668 ~ 2424 ~ 3051 ~ 1264 ~ ~ ~ 6918 9278 795 6677 ~ 2263 ~ ~ 3551 980 5199 2099 4208 ~ 3041 4108 ~ ~ 7173 ~ ~ 3408 5962 ~ 3221 ~ 2064 6144 ~ ~ 3137 ~ 
Cx ~ ~ 9775 8362 ~ 1309 1353 ~ 3862 2649 8846 ~ ~ ~ 5683 ~ 5969 ~ ~ 2205 ~ 2393 ~ ~ 6411 1565 ~ 2411 ~ 9428 349 ~ ~ 6289 2513 116 6800 5414 467 2355 7826 7965 9582 ~ 2699 5456 ~ ~ 8424 234 ~ 1085 1349 8709 ~ ~ 7197 1496 ~ 3148 ~ 9708 1348 ~ ~ ~ ~ 4788 9326 ~ ~ 9783 ~ ~ 6359 6983 3118 ~ ~ 2686 302 3308 ~ ~ 5569 2821 ~ 3919 ~ ~ ~ 4573 5621 ~ ~ 7345 ~ ~ ~ 5760 ~ 
Pb ~ ~ 8162 7374 ~ 2979 3348 ~ ~ ~ ~ 6900 ~ 2657 3566 ~ 2717 ~ 3547 ~ ~ ~ 4790 4149 1191 8436 ~ ~ 6116 5529 162 5578 ~ ~ ~ ~ ~ 531 ~ 5930 5304 9241 ~ 7646 6889 875 ~ 2076 5686 ~ 9449 6988 6292 6411 1133 ~ ~ ~ ~ 730 3984 ~ ~ 6823 5948 6728 2982 ~ 3675 636 ~ 2879 ~ ~ ~ 5521 ~ ~ ~ ~ 3060 9177 ~ ~ ~ ~ ~ 1994 ~ ~ ~ ~ ~ ~ ~ 4753 9306 2024 1073 4783 ~ 
Sa ~ ~ ~ 1171 ~ 7865 ~ ~ 5567 3840 8684 5322 7589 6124 ~ 6224 ~ 4756 1149 579 2468 ~ ~ 3193 ~ 2984 ~ ~ 9318 ~ ~ ~ ~ ~ ~ 8641 ~ ~ ~ ~ ~ ~ ~ ~ 9720 4073 ~ ~ 2197 ~ ~ ~ ~ ~ 6855 1177 3072 7944 8247 ~ 9515 5270 ~ 7280 3178 7160 3199 ~ 3231 7291 ~ 7651 2004 3086 3147 3404 ~ 4475 8297 8001 ~ ~ 2192 818 ~ 3306 ~ 8277 3991 ~ 556 3426 4428 8015 8019 ~ 2883 ~ 6103 4060 2121 
Vb ~ ~ ~ 220 1423 9127 ~ ~ ~ 5309 3285 ~ ~ 9278 5776 ~ ~ ~ 675 555 1774 ~ 4039 ~ ~ ~ 5430 2950 3611 ~ ~ ~ ~ 2132 5505 ~ 3039 ~ ~ 914 ~ ~ ~ 6949 6251 4278 3625 ~ ~ 2211 9088 ~ ~ 6297 5463 ~ ~ ~ ~ 3072 3108 ~ ~ ~ ~ ~ ~ 7283 ~ ~ 5604 ~ ~ ~ ~ ~ 2238 ~ 2881 5201 ~ 6394 ~ 5258 ~ ~ 5207 4245 8360 ~ 1999 500 5113 ~ 5937 2895 3769 839 ~ ~ ~ 
Aq ~ 3787 2687 ~ ~ 6353 9080 1699 ~ 173 8492 7612 4307 ~ ~ ~ 8237 ~ 8881 5865 8124 4201 ~ ~ 9634 525 8411 3454 ~ 251 ~ 8109 6299 2137 7755 ~ 3506 2555 3331 ~ ~ ~ ~ 5714 ~ ~ ~ ~ 647 ~ ~ 9084 ~ 1799 4236 ~ 2408 ~ ~ ~ ~ 7822 2645 ~ 3186 ~ 7303 ~ ~ ~ ~ 7341 1539 632 5982 2451 5789 2782 ~ ~ ~ 1468 793 ~ 2472 8869 2325 1706 ~ 6648 1998 ~ 6701 1167 1864 315 5944 1598 4022 9691 ~ 
Tm ~ ~ 1670 9484 ~ ~ ~ 6981 2771 ~ ~ ~ ~ ~ ~ ~ 8787 504 9474 ~ ~ ~ 4342 ~ ~ 8183 ~ ~ ~ ~ 6695 8438 ~ ~ 358 ~ ~ ~ ~ 6882 ~ ~ 606 6499 9416 5230 9236 5228 6523 1532 699 ~ 8484 ~ ~ 4809 8571 3636 ~ ~ ~ ~ 4355 5573 ~ ~ 3001 ~ ~ 7424 8062 5831 6720 ~ 6282 8594 9528 4575 7041 ~ ~ 5302 5019 ~ 4904 4154 ~ 7494 7317 ~ 8347 ~ 3584 5412 8058 9384 ~ ~ ~ ~ 4092 
Yw ~ ~ ~ 7184 5686 6489 ~ ~ ~ 2632 1688 6020 ~ 8208 ~ ~ ~ 14 ~ 7935 3912 ~ 7029 ~ ~ 16 6707 2099 6717 ~ ~ 3560 5346 1872 4015 5422 2390 ~ 9825 4427 ~ ~ ~ ~ 9190 ~ 933 141 9235 ~ 3563 ~ ~ 3025 9990 ~ ~ 3135 2679 ~ ~ ~ 1760 ~ ~ ~ 6269 ~ 9956 78 7015 ~ ~ ~ 1676 1413 ~ ~ ~ ~ 6433 6261 ~ ~ 1971 285 ~ 9613 5816 ~ 4210 1932 ~ ~ ~ 3763 ~ ~ ~ 4962 ~ 
Xj ~ ~ 6019 2006 8935 8449 ~ ~ 6988 1379 ~ ~ 9566 ~ 5377 6907 ~ ~ 8881 ~ 7467 ~ ~ 2467 6560 ~ 8317 ~ 5695 ~ 8567 ~ ~ ~ ~ 8844 3582 ~ 2133 ~ ~ 9491 818 ~ ~ 2761 8095 4146 6449 5743 ~ ~ ~ ~ ~ 7889 1113 ~ 2810 ~ 7420 1288 5824 ~ ~ 225 7290 ~ ~ 9804 925 5205 2025 ~ 3178 ~ 726 ~ ~ ~ 5149 ~ ~ ~ ~ ~ ~ ~ 9399 9074 9139 3567 ~ 9614 5225 2188 3792 5582 3006 1841 ~ 
Er ~ ~ 7279 ~ 401 7513 7083 624 ~ ~ 8195 ~ ~ ~ ~ 4327 8364 6283 ~ ~ ~ ~ ~ 7415 6136 ~ 1905 ~ 9482 6506 ~ 6734 1922 1090 2518 ~ 6395 ~ ~ ~ 8075 ~ 9458 1494 ~ ~ ~ ~ 140 5543 1981 3631 ~ ~ 5258 9084 5651 3240 2169 8918 789 ~ ~ 5483 ~ ~ ~ 6281 ~ 4319 5428 8718 ~ ~ ~ 6739 6879 ~ 5273 7553 ~ ~ ~ ~ 7260 6836 ~ 1739 ~ 5447 ~ 9561 9941 2622 ~ 6724 ~ 4274 9124 2422 3727 
Gv ~ 9597 ~ 7427 3049 7926 2752 9402 ~ ~ ~ 4083 ~ 5753 6851 4472 6505 5361 7834 6111 ~ ~ 9199 2502 7345 ~ ~ ~ ~ 8916 3808 212 3446 ~ 2257 8070 ~ 6407 7229 5885 ~ 8917 499 4223 7336 8816 ~ ~ ~ 9177 ~ 6820 1877 ~ ~ ~ 7920 ~ ~ 4425 3349 ~ ~ ~ ~ ~ ~ ~ 656 4688 5143 ~ 8090 6906 ~ ~ 1324 ~ 9954 8227 ~ 9563 3992 ~ ~ ~ ~ 9816 4578 ~ 6001 ~ ~ ~ ~ 6265 ~ 5697 8706 1013 ~ 
Px ~ ~ 9775 ~ 6073 ~ ~ ~ ~ 6695 ~ 7067 483 7845 8970 ~ 5183 ~ ~ 657 5210 6656 208 ~ ~ ~ ~ ~ 2213 8187 ~ 3101 5182 8892 1029 8272 ~ 7922 3813 ~ ~ 4675 167 415 ~ ~ 2144 9569 ~ ~ ~ ~ ~ 5448 ~ ~ ~ ~ 1832 ~ ~ 4628 ~ 154 ~ 6969 ~ 6135 1486 556 ~ ~ 3585 ~ ~ 2505 238 ~ 9588 ~ ~ 1461 50 8730 4463 ~ 4705 7145 ~ ~ ~ ~ 3999 6969 5771 ~ 623 ~ ~ 2730 ~ 
Es ~ ~ ~ 5913 8177 3979 ~ 8189 ~ 11 2047 ~ 813 ~ ~ ~ ~ ~ 8535 1670 6836 3414 ~ 7262 ~ ~ 1424 ~ 4391 ~ ~ 4931 ~ ~ 7905 6112 ~ 6424 2321 ~ ~ ~ ~ 4024 ~ ~ ~ 501 8354 1226 ~ 6825 ~ 6916 784 ~ ~ 9690 8313 5207 7571 ~ 6244 8046 ~ ~ ~ 4405 ~ 1460 604 ~ 1932 ~ ~ ~ ~ 6906 ~ 2095 ~ ~ ~ 2747 1882 ~ 5488 ~ 3797 ~ 2510 ~ 166 5126 ~ 1770 ~ 2883 2304 ~ 3565 
Hh ~ ~ 8977 ~ 1026 ~ ~ 7658 ~ ~ 8602 ~ 9234 ~ 8223 ~ 4948 1420 9197 ~ ~ ~ ~ 9731 ~ 2091 ~ ~ ~ 3986 5132 309 6469 4817 ~ ~ ~ ~ ~ ~ ~ ~ ~ 3347 ~ 9261 4118 ~ ~ ~ ~ 5771 ~ ~ ~ ~ 373 ~ ~ ~ 2670 ~ 9138 3593 ~ 810 ~ ~ 1809 3898 ~ ~ ~ ~ ~ 8359 ~ 8769 ~ 4895 1142 1739 4341 ~ 1920 8284 4961 ~ ~ 8332 ~ 1543 ~ 6675 4991 4549 7654 ~ 6669 7278 ~ 
Nu ~ ~ ~ ~ 4062 8039 4175 4743 ~ 1260 ~ ~ ~ 4936 8061 4486 2157 ~ ~ 1002 9622 ~ 849 1018 3324 882 ~ ~ 5848 ~ ~ ~ ~ 9987 3625 1892 9937 7413 ~ ~ ~ 673 ~ 5005 ~ 1291 5799 ~ ~ 4128 ~ ~ ~ ~ 1213 ~ ~ 9493 4451 ~ ~ 3985 8663 3028 6118 7314 ~ ~ 9256 6153 1971 ~ 5425 7938 2873 ~ ~ ~ ~ 7663 ~ ~ 8345 ~ ~ 6416 ~ 339 2615 8671 7353 ~ 7571 ~ 4168 2789 ~ ~ ~ 4987 8890 
Xw ~ 5542 3525 529 ~ 9242 765 3752 ~ 9130 7507 ~ 6941 3306 8562 ~ ~ ~ 3553 1525 324 ~ ~ 1917 ~ ~ ~ ~ 184 3756 9033 5442 ~ 9977 3434 ~ ~ ~ ~ 91 ~ ~ ~ 1013 6031 ~ ~ 7792 6383 9229 ~ 5490 4922 3270 ~ 6546 9157 ~ 1439 8447 5183 7295 ~ ~ 4211 2048 ~ ~ 3113 ~ 4810 2908 4465 ~ 8071 2074 6813 ~ ~ 8252 ~ ~ 5403 1400 ~ ~ ~ ~ ~ 7812 ~ 9397 5226 ~ ~ 6787 7702 6733 3237 ~ 5970 
Bb ~ ~ 695 ~ ~ 6349 9964 7732 9008 ~ 38 ~ ~ ~ 7964 8523 9473 ~ 7023 ~ ~ ~ ~ 2016 8810 4286 4040 ~ 126 7007 ~ ~ 5329 ~ ~ ~ 6189 ~ ~ ~ 2299 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 9498 3422 ~ 7754 ~ ~ 5772 2627 ~ 845 ~ 5922 7764 1569 ~ ~ ~ 4135 ~ ~ 7413 ~ 9751 5494 3258 3791 8099 2296 4018 ~ 7108 ~ 3293 8067 ~ ~ ~ 96 ~ 2300 ~ 5717 ~ 9849 ~ ~ ~ 2048 1835 
Ga ~ ~ ~ 2333 ~ 816 988 6510 ~ ~ 5039 ~ 2640 ~ 9650 ~ ~ 2131 7722 6148 911 ~ 6588 ~ ~ ~ 4660 ~ 8537 3532 7753 ~ ~ ~ 4673 1752 8527 8906 ~ 5084 2001 5252 4219 ~ 2956 ~ 9729 ~ 8953 ~ ~ ~ 7826 ~ 7558 ~ ~ 1699 ~ 5570 ~ ~ 4893 ~ ~ ~ 3480 5749 224 7660 ~ 780 ~ 1567 2082 ~ ~ 7373 ~ 8617 ~ ~ ~ ~ ~ ~ ~ ~ 9248 7897 ~ 1202 ~ 1635 1601 5964 3184 ~ ~ ~ ~ 
Cj ~ 751 9986 ~ ~ 1552 7503 ~ ~ 7098 1151 ~ 4155 ~ 3286 ~ 4630 8879 ~ 1350 ~ ~ ~ 1241 7955 ~ 4107 ~ 6772 ~ ~ 6116 1305 ~ 841 1935 2044 ~ ~ ~ 4442 ~ ~ ~ 9538 ~ ~ 103 2516 ~ ~ 5569 ~ 2993 ~ ~ ~ ~ 3847 ~ ~ ~ ~ ~ 8240 7606 ~ 7959 6985 ~ 306 ~ 6782 28 ~ 3795 ~ 3519 6181 4394 331 4926 ~ ~ 7474 ~ ~ 7802 ~ 1648 973 ~ 1398 ~ 367 ~ ~ ~ ~ 5244 666 
Lc ~ ~ ~ 518 ~ 6705 ~ ~ 3372 3796 9734 ~ 3373 ~ 4396 ~ 7226 ~ 5420 1298 3757 2970 ~ ~ ~ 7691 ~ ~ ~ ~ ~ ~ ~ 9000 ~ 7287 ~ ~ ~ ~ ~ 6721 ~ 6919 81 274 ~ ~ ~ ~ ~ ~ 4034 ~ ~ 2795 ~ 5937 6722 ~ ~ ~ ~ ~ 6511 6392 ~ 338 9039 ~ ~ ~ ~ ~ ~ 5491 804 ~ ~ ~ ~ 7978 9862 ~ ~ ~ 3583 8486 2902 6945 771 ~ 6086 3054 7509 ~ ~ ~ 2394 ~ ~ 
Pm ~ 3169 ~ 8306 ~ 8939 ~ 270 9523 9663 252 9061 3545 ~ 6411 1930 ~ 3201 2229 ~ ~ 9931 ~ ~ ~ 9670 4012 6279 ~ ~ ~ ~ ~ 9848 6700 ~ ~ 3666 ~ 2185 5408 3853 4643 ~ 5582 5491 ~ ~ 8464 ~ ~ 7977 5076 513 ~ ~ ~ 9901 ~ 1139 ~ ~ 9621 ~ ~ ~ 8822 ~ ~ 6186 ~ 3606 4034 ~ 9736 8655 ~ 6654 4985 551 ~ 2220 950 6579 ~ 4656 1779 ~ 8312 ~ 5542 ~ 3988 ~ ~ ~ 2127 2791 6897 500 ~ 
Iu ~ 6652 ~ ~ 8070 ~ ~ ~ 1165 ~ ~ 1369 670 1170 ~ 4565 ~ ~ ~ 7161 3990 4582 3584 2297 6243 ~ ~ ~ ~ ~ ~ 6910 7479 ~ 510 2 ~ ~ 7943 6611 8283 ~ ~ ~ ~ 8978 6279 ~ 8064 ~ ~ 7764 5203 4446 ~ ~ ~ ~ 3298 5386 ~ 8268 ~ 6407 3471 ~ 4638 617 ~ 1800 ~ ~ 2504 ~ 70 ~ 1759 9222 5913 1450 ~ ~ 2830 ~ ~ 8556 ~ 146 ~ ~ 3061 ~ 6154 1260 ~ ~ ~ 2566 3399 ~ ~ 
Oq ~ 8035 ~ ~ 4316 ~ 9531 ~ 920 6385 ~ 5395 ~ 9509 5665 841 5731 ~ ~ 7184 ~ ~ 2731 ~ 7687 ~ ~ 3959 ~ ~ ~ ~ ~ ~ 1688 ~ ~ ~ ~ 1190 ~ ~ 3182 ~ 8158 ~ ~ 9608 7362 3570 9403 5680 ~ 1342 543 212 5896 9607 ~ ~ 1112 ~ 4056 6305 7550 ~ ~ ~ ~ 4485 7873 ~ 4418 5170 ~ ~ ~ 5629 ~ ~ 1052 ~ 6925 ~ 564 ~ ~ ~ ~ ~ 2473 ~ 9360 9752 ~ 5095 ~ ~ ~ 6089 ~ 
Yw ~ ~ ~ ~ 5078 ~ 9920 2049 118 ~ ~ ~ 563 ~ ~ ~ 1857 5796 4098 7329 4792 2174 ~ ~ 2674 ~ ~ ~ 9749 7189 4797 ~ ~ 8463 ~ ~ 351 2728 8751 ~ 6934 ~ ~ 7646 ~ ~ 2037 ~ 7893 ~ ~ ~ 7571 ~ ~ 1377 ~ ~ 4887 ~ 6447 ~ 1126 ~ 2099 ~ 5538 ~ 9540 ~ 5044 ~ 6576 ~ 1 9378 ~ ~ 4108 1004 3318 ~ ~ ~ ~ ~ ~ 8334 ~ 539 ~ ~ 5052 9286 2336 5332 786 ~ 8684 2466 2778 
Rl ~ ~ ~ 3285 5186 ~ ~ ~ ~ 5790 ~ 1709 7041 955 1651 7952 ~ ~ 1556 9833 ~ 4242 6905 27 ~ 4548 ~ 1881 8424 ~ ~ ~ 5561 ~ ~ ~ 8388 ~ 6026 ~ 3117 5927 5294 ~ 9414 ~ ~ ~ ~ 408 ~ 9082 ~ ~ ~ ~ 6924 2377 1681 ~ ~ ~ ~ ~ ~ ~ ~ 7744 ~ ~ ~ ~ ~ 6759 7838 ~ 5114 1147 6460 9910 249 8195 7744 ~ 1109 ~ 218 ~ 575 ~ ~ 5005 ~ 7208 ~ ~ ~ ~ 7660 ~ ~ 
Je ~ 6658 9194 8271 3717 9003 ~ 5547 5675 7717 ~ ~ ~ ~ ~ ~ ~ ~ 4722 5526 4405 ~ 5508 ~ 1577 ~ 9682 8303 ~ 7941 ~ 5449 6618 377 ~ 5556 5967 ~ 9209 1971 ~ 9463 ~ ~ 7793 6170 ~ 2502 736 6137 ~ ~ ~ 3500 6019 ~ 7571 2024 4894 9015 5935 5097 3434 ~ ~ 3153 ~ ~ ~ 2896 ~ 246 ~ ~ ~ 4136 3477 ~ 4170 2396 2370 496 4520 ~ 8431 ~ 3744 ~ ~ 8290 ~ 5046 2660 ~ 7520 ~ ~ ~ 2999 ~ ~ 
